date,low,open,high,close,diff,mean
2021-03-02,26.75,27.34,43,41.6,0.5215801024140454,34.47
2021-03-03,27.56,37.11,39.47,28.01,-0.24521692266235512,32.56
2021-03-04,25.38,28,30.94,26.86,-0.04071428571428574,27.43
2021-03-05,23.48,27.74,27.85,25.1,-0.09516943042537841,26.42
2021-03-08,23.85,24.87,27.76,24.71,-0.0064334539605950996,24.79
2021-03-09,23.93,25,27.39,25.49,0.019599999999999937,25.244999999999997
2021-03-10,25.02,25.6,28.68,25.95,0.013671874999999917,25.775
2021-03-11,25.66,26.32,27.84,25.83,-0.01861702127659582,26.075
2021-03-12,24.8,25.53,25.79,25.01,-0.02036819428123774,25.270000000000003
2021-03-15,25.12,25.65,26.66,25.8,0.005847953216374353,25.725
2021-03-16,24.93,26.11,26.93,25,-0.04251244733818458,25.555
2021-03-17,24.1501,24.82,25.1299,24.5,-0.012892828364222413,24.66
2021-03-18,23.06,24.3,24.6,23.1,-0.049382716049382686,23.700000000000003
2021-03-19,22.73,23.24,23.64,23.07,-0.007314974182443983,23.155
2021-03-22,22.84,23.24,23.46,22.99,-0.010757314974182445,23.115
2021-03-23,22.9601,23.33,24.69,23.04,-0.01243034719245603,23.185
2021-03-24,22.48,23.32,23.57,22.52,-0.03430531732418528,22.92
2021-03-25,21.7,21.98,22.55,22.47,0.022292993630573178,22.225
2021-03-26,22.09,22.3,24.13,23.91,0.07219730941704033,23.105
2021-03-29,22.81,24.25,27.44,23.8,-0.018556701030927807,24.025
2021-03-30,23.17,24.05,24.535,23.2,-0.0353430353430354,23.625
2021-03-31,22.75,23.32,23.57,23.09,-0.009862778730703277,23.205
2021-04-01,22.54,23.3,23.4,22.55,-0.032188841201716736,22.925
2021-04-05,22.4,22.76,23.01,22.44,-0.014059753954305811,22.6
2021-04-06,21.89,22.36,23.43,22.65,0.012969588550983862,22.505
2021-04-07,22.3,22.7,23.0664,22.58,-0.005286343612334846,22.64
2021-04-08,22.16,22.6,22.89,22.57,-0.0013274336283186344,22.585
2021-04-09,22.36,22.57,22.88,22.75,0.007975188303057143,22.66
2021-04-12,21.94,22.75,22.78,22.17,-0.02549450549450542,22.46
2021-04-13,22.04,22.05,23.09,22.98,0.0421768707482993,22.515
2021-04-14,22.07,22.78,23.3,22.25,-0.023266022827041315,22.515
2021-04-15,22.11,22.5,23.09,22.76,0.011555555555555624,22.630000000000003
2021-04-16,22,22.55,22.6799,22.12,-0.01906873614190686,22.335
2021-04-19,21.57,22.06,22.18,22.01,-0.0022665457842247125,22.035
2021-04-20,21.43,21.97,22.12,21.67,-0.013654984069185123,21.82
2021-04-21,20.94,21.27,21.9,21.9,0.02961918194640334,21.585
2021-04-22,21.75,21.96,22.32,21.87,-0.004098360655737698,21.915
2021-04-23,21.82,21.89,22.275,22.15,0.0118775696665143,22.02
2021-04-26,22.2364,22.28,22.75,22.57,0.013016157989227969,22.425
2021-04-27,22.44,22.76,22.96,22.9,0.006151142355008656,22.83
2021-04-28,22.565,23,23.03,22.86,-0.0060869565217391555,22.93
2021-04-29,22.3142,22.92,23.03,22.9,-8.726003490402759e-4,22.91
2021-04-30,22.37,22.77,23.01,22.45,-0.014053579270970588,22.61
2021-05-03,22.15,22.6,22.7,22.5,-0.004424778761062009,22.55
2021-05-04,21.87,22.75,23.2,22.49,-0.011428571428571498,22.619999999999997
2021-05-05,22.67,22.71,23.1,22.8,0.003963011889035661,22.755000000000003
2021-05-06,18.78,19.68,19.8,19.01,-0.03404471544715438,19.345
