date,low,open,high,close,diff,mean
2021-03-09,23.1,23.38,24.74,24.26,0.03763900769888805,23.82
2021-03-10,24.27,25.03,26.24,24.75,-0.011186576108669641,24.89
2021-03-11,25.58,25.95,26.84,26.73,0.030057803468208136,26.34
2021-03-12,25.18,25.74,26.92,26.92,0.04584304584304597,26.33
2021-03-15,26.31,27.35,27.47,26.79,-0.02047531992687394,27.07
2021-03-16,25.23,26.75,27.1,25.61,-0.04261682242990656,26.18
2021-03-17,24.3,24.52,25.73,25.21,0.02814029363784671,24.865000000000002
2021-03-18,23.78,24.73,25.18,23.98,-0.0303275374039628,24.355
2021-03-19,23.39,24.01,24.57,24.32,0.012911286963765044,24.165
2021-03-22,23.86,24.89,24.92,24.22,-0.026918441141020558,24.555
2021-03-23,23.1,24,24.105,23.26,-0.030833333333333268,23.630000000000003
2021-03-24,21.75,23.3,23.485,21.88,-0.06094420600858376,22.59
2021-03-25,21.05,21.2,22.8,22.58,0.06509433962264147,21.89
2021-03-26,21.76,22.63,23.05,22.58,-0.0022094564737074993,22.604999999999997
2021-03-29,21.39,22.48,22.5,21.73,-0.03336298932384341,22.105
2021-03-30,20.86,21.36,22.09,22.04,0.03183520599250935,21.7
2021-03-31,22.38,22.5,23.85,23.29,0.03511111111111107,22.895
2021-04-01,22.73,23.95,23.95,23.07,-0.036743215031315196,23.509999999999998
2021-04-05,23.3401,23.78,24.45,23.44,-0.014297729184188387,23.61
2021-04-06,22.83,23.55,23.61,23.27,-0.011889596602972447,23.41
2021-04-07,22.81,23,23.55,22.9,-0.004347826086956583,22.95
2021-04-08,22.74,23.2,23.6,23.41,0.009051724137931072,23.305
2021-04-09,23.37,23.46,24.35,24.04,0.024722932651321323,23.75
2021-04-12,22.73,24.52,24.55,23.34,-0.04812398042414354,23.93
2021-04-13,23.12,23.19,25.6585,25.42,0.09616213885295387,24.305
2021-04-14,23.65,25.35,26.2,23.7,-0.06508875739644979,24.525
2021-04-15,22.69,24.01,24.06,23.15,-0.03581840899625168,23.58
2021-04-16,22.3,22.86,23.26,22.47,-0.017060367454068266,22.665
2021-04-19,21.53,22.15,22.33,21.94,-0.0094808126410834,22.045
2021-04-20,21.24,21.96,22.55,21.78,-0.008196721311475396,21.87
2021-04-21,21.43,21.65,22.64,22.63,0.045265588914549675,22.14
2021-04-22,22.51,22.94,23.51,22.86,-0.003487358326068084,22.9
2021-04-23,22.74,22.89,23.55,23.41,0.02271734381826123,23.15
2021-04-26,23.46,23.69,24.26,24.11,0.017728999577880884,23.9
2021-04-27,23.57,24.17,24.26,23.88,-0.011998345055854476,24.025
2021-04-28,23.42,23.67,24.17,23.85,0.007604562737642573,23.76
2021-04-29,22.81,23.87,24.14,23.37,-0.020946795140343526,23.62
2021-04-30,22.84,23.18,23.55,23.04,-0.006039689387402958,23.11
2021-05-03,22.21,23.01,23.08,22.3,-0.030856149500217332,22.655
2021-05-04,20.87,21.94,22.2,21.64,-0.01367365542388335,21.79
2021-05-05,20.97,21.67,21.67,21.15,-0.023996308260267794,21.41
2021-05-06,19.41,21.02,21.02,20.09,-0.04424357754519504,20.555
2021-05-07,19.58,20.3,20.75,19.75,-0.027093596059113333,20.025
NA,NA,NA,NA,NA,NA,NA
