Time,Open,High,Low,Last,Change,%Chg,Volume
12/02/2020,20.09,20.3484,19.92,20.1,-0.09,-0.45%,7905300
12/03/2020,20.15,20.51,20.11,20.31,0.21,+1.04%,7834800
12/04/2020,20.22,20.34,19.57,19.63,-0.68,-3.35%,13159400
12/07/2020,19.59,20.24,19.55,19.7,0.07,+0.36%,10978600
12/08/2020,19.8,20.63,19.66,20.21,0.51,+2.59%,15648700
12/09/2020,20.92,21.97,20.47,21.06,0.85,+4.21%,29772400
12/10/2020,21.34,21.4,20.63,20.8,-0.26,-1.23%,10688800
12/11/2020,20.75,21.42,20.7,20.86,0.06,+0.29%,9604400
12/14/2020,21.48,22.64,21.28,21.94,1.08,+5.18%,21751300
12/15/2020,22.33,22.63,21.83,22.36,0.42,+1.91%,10615000
12/16/2020,22.63,22.84,22.2177,22.39,0.03,+0.13%,10259500
12/17/2020,22.37,22.53,21.77,22.4,0.01,+0.04%,9006100
12/18/2020,21.52,21.98,21.42,21.64,-0.76,-3.39%,13530300
12/21/2020,21.19,22.13,21.06,21.6,-0.04,-0.18%,6132400
12/22/2020,21.67,21.77,21.4042,21.7,0.1,+0.46%,4951700
12/23/2020,21.86,21.87,21.25,21.65,-0.05,-0.23%,4630200
12/24/2020,21.64,21.67,20.67,20.83,-0.82,-3.79%,5445300
12/28/2020,21.02,21.02,20.26,20.5,-0.33,-1.58%,7550300
12/29/2020,20.46,21.05,20.05,20.75,0.25,+1.22%,10950600
12/30/2020,20.78,21.26,20.52,21.16,0.41,+1.98%,5491800
12/31/2020,21.11,21.12,20.2,20.22,-0.94,-4.44%,8161700
01/04/2021,20.25,20.2732,19.84,20,-0.22,-1.09%,6486800
01/05/2021,19.97,20.14,19.81,19.89,-0.11,-0.55%,14297700
01/06/2021,19.51,19.67,19.18,19.35,-0.54,-2.71%,16289300
01/07/2021,19.37,19.89,19.37,19.72,0.37,+1.91%,8838300
01/08/2021,19.87,20.13,19.72,19.95,0.23,+1.17%,6596800
01/11/2021,19.71,20.38,19.68,19.84,-0.11,-0.55%,8002200
01/12/2021,19.93,20.15,19.46,19.63,-0.21,-1.06%,7580900
01/13/2021,19.9,20.1,19.61,19.93,0.3,+1.53%,6449800
01/14/2021,20.07,20.24,19.9123,20.16,0.23,+1.15%,5979400
01/15/2021,20.09,20.18,19.57,19.6,-0.56,-2.78%,7098100
01/19/2021,19.5,19.68,19.33,19.54,-0.06,-0.31%,6679500
01/20/2021,19.6,19.91,19.4,19.87,0.33,+1.69%,5524400
01/21/2021,19.88,20.08,19.61,19.97,0.1,+0.50%,5051200
01/22/2021,19.82,20.14,19.75,20.05,0.08,+0.40%,5069900
01/25/2021,20.25,23.99,20.08,23.19,3.14,+15.66%,37726700
01/26/2021,23.5,23.57,22.2,22.7,-0.49,-2.11%,13717800
01/27/2021,23.73,25.55,22.56,23,0.3,+1.32%,26631000
01/28/2021,22.99,23.67,21.09,21.31,-1.69,-7.35%,13670400
01/29/2021,24.3,24.5,21.16,21.36,0.05,+0.23%,21610000
02/01/2021,21.63,22.03,21.1601,21.54,0.18,+0.84%,9663500
02/02/2021,21.83,21.98,20.93,20.94,-0.6,-2.79%,10117000
02/03/2021,21.6,22.15,21.17,21.21,0.27,+1.29%,12375000
02/04/2021,21.61,22.4,21.45,21.57,0.36,+1.70%,11512400
02/05/2021,21.5,21.7493,21.25,21.63,0.06,+0.28%,7321300
02/08/2021,21.94,21.99,21.42,21.62,-0.01,-0.05%,8383200
02/09/2021,21.55,21.84,21.23,21.25,-0.37,-1.71%,9648500
02/10/2021,21.28,21.3766,20.61,20.94,-0.31,-1.46%,7657900
02/11/2021,21.01,21.47,20.55,20.67,-0.27,-1.29%,7602400
02/12/2021,20.77,20.99,20.47,20.68,0.01,+0.05%,7575400
02/16/2021,20.9,21.13,20.41,20.57,-0.11,-0.53%,7779200
02/17/2021,20.55,20.8431,20.04,20.05,-0.52,-2.53%,12756200
02/18/2021,20.08,20.43,19.7,20.07,0.02,+0.10%,8815600
02/19/2021,20.29,20.54,20.08,20.27,0.2,+1.00%,5705400
02/22/2021,20.29,20.815,20.13,20.41,0.14,+0.69%,8555300
02/23/2021,20.03,20.08,18.7,20,-0.41,-2.01%,9944700
02/24/2021,19.76,20.39,19.47,20.32,0.32,+1.60%,8657900
02/25/2021,20.35,20.9824,19.71,19.9,-0.42,-2.07%,15216700
02/26/2021,23.33,23.56,21.58,21.85,1.95,+9.80%,50331300
03/01/2021,22.9621,24.5,22.5213,24.3,2.45,+11.21%,35347700
03/02/2021,27.34,43,26.75,41.6,17.3,+71.19%,376559008
03/03/2021,37.11,39.47,27.56,28.01,-13.59,-32.67%,178101408
03/04/2021,28,30.94,25.38,26.86,-1.15,-4.11%,67277696
03/05/2021,27.74,27.85,23.48,25.1,-1.76,-6.55%,35128700
03/08/2021,24.87,27.76,23.85,24.71,-0.39,-1.55%,28847900
03/09/2021,25,27.39,23.93,25.49,0.78,+3.16%,31961300
03/10/2021,25.6,28.68,25.02,25.95,0.46,+1.80%,42862200
03/11/2021,26.32,27.84,25.66,25.83,-0.12,-0.46%,17125000
03/12/2021,25.53,25.79,24.8,25.01,-0.82,-3.17%,10730500
03/15/2021,25.65,26.66,25.12,25.8,0.79,+3.16%,13282200
